id,title,resource_type,description,url,open_science,llm_use,discipline,date_recorded,date_recorded_original,topics,source_urls
resource-011,Generative AI Can Supercharge Your Academic Research,Discussion Article; Use Case Example,"Conducting relevant scholarly research can be a struggle. Educators must employ innovative research methods, carefully analyze complex data, and then master the art of writing clearly, all while keeping the interest of a broad audience in mind.

Generative AI is revolutionizing this sometimes tedious aspect of academia by providing sophisticated tools to help educators navigate and elevate their research. But there are concerns, too. AI’s capabilities are rapidly expanding into areas that were once considered exclusive to humans, like creativity and ingenuity. This could lead to improved productivity, but it also raises questions about originality, data manipulation, and credibility in research. With a simple prompt, AI can easily generate falsified datasets, mimic others’ research, and avoid plagiarism detection. [4 how to tutorials follow]",https://hbsp.harvard.edu/inspiring-minds/generative-ai-can-supercharge-your-academic-research,Open Source,Other,Other,2024-03-19,"March 19, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-012,Generative AI for Economic Research: LLMs Learn to Collaborate and Reason,Discussion Article; Use Case Example,"Large language models (LLMs) have seen remarkable progress in speed, cost efficiency, accuracy, and the capacity to process larger amounts of text over the past year. This article is a practical guide to update economists on how to use these advancements in their research. The main innovations covered are (i) new reasoning capabilities, (ii) novel workspaces for interactive LLM collaboration such as Claude's Artifacts, ChatGPT's Canvas or Microsoft's Copilot, and (iii) recent improvements in LLM-powered internet search. Incorporating these capabilities in their work allows economists to achieve significant productivity gains. Additionally, I highlight new use cases in promoting research, such as automatically generated blog posts, presentation slides and interviews as well as podcasts via Google's NotebookLM.",https://www.nber.org/papers/w33198,Open Source,Other,Economics,2024-11-26,"November 26, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-013,Human-AI Collaboration in Thematic Analysis using ChatGPT: A User Study and Design Recommendations,Research Article,"Generative artificial intelligence (GenAI) offers promising potential for advancing human-AI collaboration in qualitative research. However, existing works focused on conventional machine-learning and pattern-based AI systems, and little is known about how researchers interact with GenAI in qualitative research. This work delves into researchers' perceptions of their collaboration with GenAI, specifically ChatGPT. Through a user study involving ten qualitative researchers, we found ChatGPT to be a valuable collaborator for thematic analysis, enhancing coding efficiency, aiding initial data exploration, offering granular quantitative insights, and assisting comprehension for non-native speakers and non-experts. Yet, concerns about its trustworthiness and accuracy, reliability and consistency, limited contextual understanding, and broader acceptance within the research community persist. We contribute five actionable design recommendations to foster effective human-AI collaboration. These include incorporating transparent explanatory mechanisms, enhancing interface and integration capabilities, prioritising contextual understanding and customisation, embedding human-AI feedback loops and iterative functionality, and strengthening trust through validation mechanisms.",https://arxiv.org/abs/2311.03999v1,Preprint,Data Analysis,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-014,LangChain Cookbook,Tutorial w/ Code,Goal: Provide an introductory understanding of the components and use cases of LangChain via ELI5 examples and code snippets.,https://github.com/gkamradt/langchain-tutorials/blob/main/LangChain%20Cookbook.ipynb,Open Source,,,,,Tutorials on Using LLMs,https://web.archive.org/web/20240419124042/https://llminscience.com/resources/tutorials/
resource-015,LangChain Library Documentation,Documentation,"LangChain is a framework for developing applications powered by language models. We believe that the most powerful and differentiated applications will not only call out to a language model via an API, but will also:
Be data-aware: connect a language model to other sources of data
Be agentic: allow a language model to interact with its environment
The LangChain framework is designed with the above principles in mind.",https://python.langchain.com/en/latest/index.html,Open Source,,,,,LLM Documentation,https://web.archive.org/web/20240419124248/https://llminscience.com/resources/useful-llm-documentation/
resource-016,Leveraging generative artificial intelligence to simulate student learning behavior,Research Article,"Student simulation presents a transformative approach to enhance learning outcomes, advance educational research, and ultimately shape the future of effective pedagogy. We explore the feasibility of using large language models (LLMs), a remarkable achievement in AI, to simulate student learning behaviors. Unlike conventional machine learning based prediction, we leverage LLMs to instantiate virtual students with specific demographics and uncover intricate correlations among learning experiences, course materials, understanding levels, and engagement. Our objective is not merely to predict learning outcomes but to replicate learning behaviors and patterns of real students. We validate this hypothesis through three experiments. The first experiment, based on a dataset of N = 145, simulates student learning outcomes from demographic data, revealing parallels with actual students concerning various demographic factors. The second experiment (N = 4524) results in increasingly realistic simulated behaviors with more assessment history for virtual students modelling. The third experiment (N = 27), incorporating prior knowledge and course interactions, indicates a strong link between virtual students' learning behaviors and fine-grained mappings from test questions, course materials, engagement and understanding levels. Collectively, these findings deepen our understanding of LLMs and demonstrate its viability for student simulation, empowering more adaptable curricula design to enhance inclusivity and educational effectiveness.",https://arxiv.org/abs/2310.19206v1,Preprint,Data Generation; Data Analysis,Data Science; Education,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-017,LLMs and the Risk of Sloppy Science: Navigating the Future of Scientific Inquiry in the Age of Artificial Intelligence,Discussion Article,"The emergence of Large Language Models (LLMs) such as GPT-3 represents a paradigm shift in scientific research, offering unparalleled capabilities in data analysis, hypothesis generation, and literature synthesis. However, their integration into research processes raises fundamental philosophical, methodological and ethical concerns. This article critically examines the benefits and risks associated with LLMs through the lenses of philosophy of science, cognitive science, and second-order cybernetics in order to augment a public debate that has until now seemed excessively focused on practical implementation risks rather than categorical errors. We explore the tension between augmenting human research capabilities and the threat of ""sloppy science,"" where the ease of generating scientific content may compromise the quality and reliability of research outputs.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4949823,Preprint,Other,,2024-12-18,"December 18, 2024",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-018,LLMs for Science: Usage for Code Generation and Data Analysis,Research Article,"Large language models (LLMs) have been touted to enable increased productivity in many areas of today's work life. Scientific research as an area of work is no exception: the potential of LLM-based tools to assist in the daily work of scientists has become a highly discussed topic across disciplines. However, we are only at the very onset of this subject of study. It is still unclear how the potential of LLMs will materialise in research practice. With this study, we give first empirical evidence on the use of LLMs in the research process. We have investigated a set of use cases for LLM-based tools in scientific research, and conducted a first study to assess to which degree current tools are helpful. In this paper we report specifically on use cases related to software engineering, such as generating application code and developing scripts for data analytics. While we studied seemingly simple use cases, results across tools differ significantly. Our results highlight the promise of LLM-based tools in general, yet we also observe various issues, particularly regarding the integrity of the output these tools provide.",https://arxiv.org/abs/2311.16733,Preprint; Open Source; Open Data; Open Code,Data Generation; Data Analysis,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-019,Machine Learning as a Tool for Hypothesis Generation,Research Article,"While hypothesis testing is a highly formalized activity, hypothesis generation remains largely informal. We propose a procedure that uses machine learning algorithms—and their capacity to notice patterns people might not—to generate novel hypotheses about human behavior. We illustrate the procedure with a concrete application: judge decisions. We begin with a striking fact: up to half of the predictable variation in who judges jail is explained solely by the pixels in the defendant’s mugshot—that is, the predictions from an algorithm built using just facial images. We develop a procedure that allows human subjects to interact with this black-box algorithm to produce hypotheses about what in the face influences judge decisions. The procedure generates hypotheses that are both interpretable and novel: They are not explained by factors implied by existing research (demographics, facial features emphasized by previous psychology studies), nor are they already known (even if just tacitly) to people or even experts. Though these results are specific, our procedure is general. It provides a way to produce novel, interpretable hypotheses from any high-dimensional dataset (e.g. cell phones, satellites, online behavior, news headlines, corporate filings, and high-frequency time series). A central tenet of our paper is that hypothesis generation is in and of itself a valuable activity, and hope this encourages future work in this largely “pre-scientific” stage of science.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4387832,Preprint,Other,Economics,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-020,Mathematical discoveries from program search with large language models,Research Article,"Large Language Models (LLMs) have demonstrated tremendous capabilities in solving complex tasks, from quantitative reasoning to understanding natural language. However, LLMs sometimes suffer from confabulations (or hallucinations) which can result in them making plausible but incorrect statements [1,2]. This hinders the use of current large models in scientific discovery. Here we introduce FunSearch (short for searching in the function space), an evolutionary procedure based on pairing a pre-trained LLM with a systematic evaluator. We demonstrate the effectiveness of this approach to surpass the best known results in important problems, pushing the boundary of existing LLM-based approaches [3]. Applying FunSearch to a central problem in extremal combinatorics — the cap set problem — we discover new constructions of large cap sets going beyond the best known ones, both in finite dimensional and asymptotic cases. This represents the first discoveries made for established open problems using LLMs. We showcase the generality of FunSearch by applying it to an algorithmic problem, online bin packing, finding new heuristics that improve upon widely used baselines. In contrast to most computer search approaches, FunSearch searches for programs that describe how to solve a problem, rather than what the solution is. Beyond being an effective and scalable strategy, discovered programs tend to be more interpretable than raw solutions, enabling feedback loops between domain experts and FunSearch, and the deployment of such programs in real-world applications.",https://www.nature.com/articles/s41586-023-06924-6,Open Source,Data Generation; Data Analysis; Other,Math,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-021,Named Entity Recognition for peer-review disambiguation in academic publishing,Research Article,"In recent years, there has been a constant increase in the number of scientific peer-reviewed articles published. Each of these articles has to go through a laborious process, from peer review, through author revision rounds, to the final decision made by the editor-in-chief. Lacking time and being under pressure with diverse research tasks, senior scientists need new tools to automate parts of their activities. In this paper, we propose a new approach based on named entity recognition that is able to annotate review comments in order to extract meaningful information about changes requested by reviewers. This research focuses on deep learning models that are achieving state-of-the-art results in many natural language processing tasks. Exploring the performance of BERT-based and XLNet models on the review comments annotation task, a “review-annotation“ model based on SciBERT was trained, able to achieve an F1 score of 0.87. Its usage allows different players in the academic publishing process to better understand the review request. In addition, the correlation of the requested and the actual changes is made possible, allowing the final decision-maker to strengthen the article evaluation.",https://ieeexplore.ieee.org/abstract/document/10229657,,,Computer Science; Education,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-022,OpenAI API Documentation,Documentation,"The OpenAI API can be applied to virtually any task that involves understanding or generating natural language, code, or images. We offer a spectrum of models with different levels of power suitable for different tasks, as well as the ability to fine-tune your own custom models. These models can be used for everything from content generation to semantic search and classification.",https://platform.openai.com/docs/introduction,Open Source,,,,,LLM Documentation,https://web.archive.org/web/20240419124248/https://llminscience.com/resources/useful-llm-documentation/
resource-023,OpenAI Cookbook,Documentation; Tutorial w/ Code,"The OpenAI Cookbook shares example code for accomplishing common tasks with the OpenAI API. To run these examples, you'll need an OpenAI account and associated API key (create a free account). Most code examples are written in Python, though the concepts can be applied in any language.",https://github.com/openai/openai-cookbook/tree/main/examples,Open Source; Open Code,,,,,Tutorials on Using LLMs; LLM Documentation,https://web.archive.org/web/20240419124042/https://llminscience.com/resources/tutorials/; https://web.archive.org/web/20240419124248/https://llminscience.com/resources/useful-llm-documentation/
resource-024,Quality of Large Language Model Responses to Radiation Oncology Patient Care Questions,Research Article; Application/Tool; Use Case Example,"This publications outlines a comprehensive evaluation approach to determine an LLM’s quality of responses to radiation oncology patient care questions using both domain-specific expertise and domain-agnostic metrics. Domain-specific expertise involves evaluating LLM-generated responses through human expert assessments, augmented with Likert scales, while domain-agnostic evaluation utilizes computational quantitative techniques to assess the LLM-generated responses.",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2816884,,Research Design; Science Communication; Other,Medicine; Public Health,2024-11-13,"November 13, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-025,Questions of science: chatting with ChatGPT about complex systems,Research Article; Use Case Example,"We present an overview of the complex systems field using ChatGPT as a representation of the community's understanding. ChatGPT has learned language patterns and styles from a large dataset of internet texts, allowing it to provide answers that reflect common opinions, ideas, and language patterns found in the community. Our exploration covers both teaching and learning, and research topics. We recognize the value of ChatGPT as a source for the community's ideas.",https://arxiv.org/pdf/2303.16870.pdf,Preprint,Data Collection,Other,2023-04-12,"April 12, 2023",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-026,Reaching the Gold Standard: Automated Text Analysis with Generative Pre-trained Transformers Matches Human-Level Performance,Research Article,"Natural language is a vital source of evidence for the social sciences. Yet quantifying large volumes of text rigorously and precisely is extremely difficult, and automated methods have struggled to match the “gold standard” of human coding. The present work used GPT-4 to conduct an automated analysis of 1,356 essays, rating the authors’ spirituality on a continuous scale. This presents an especially challenging test for automated methods, due to the subtlety of the concept and the difficulty of inferring complex personality traits from a person’s writing. Nonetheless, we found that GPT-4’s ratings demonstrated excellent internal reliability, remarkable consistency with a human rater, and strong correlations with self-report measures and behavioral indicators of spirituality. These results suggest that, even on nuanced tasks requiring a high degree of conceptual sophistication, automated text analysis with Generative Pre-trained Transformers can match human-level performance. Hence, these results demonstrate the extraordinary potential for such tools to advance social scientific research.",https://osf.io/preprints/psyarxiv/bqnmk/,Preprint,Data Analysis,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
resource-027,Techniques for supercharging academic writing with generative AI,Documentation; Tutorial w/ Code; Tutorial w/o Code; Application/Tool; Discussion Article; Use Case Example; Reporting Guidelines,Generalist large language models can elevate the quality and efficiency of academic writing.,https://www.nature.com/articles/s41551-024-01185-8,Preprint,Describing Results; Science Communication,Any Discipline,2024-11-10,"November 10, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-028,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery [Github Repo],Research Article; Tutorial w/ Code; Application/Tool; Use Case Example,"One of the grand challenges of artificial intelligence is developing agents capable of conducting scientific research and discovering new knowledge. While frontier models have already been used to aid human scientists, e.g. for brainstorming ideas or writing code, they still require extensive manual supervision or are heavily constrained to a specific task.

We're excited to introduce The AI Scientist, the first comprehensive system for fully automatic scientific discovery, enabling Foundation Models such as Large Language Models (LLMs) to perform research independently.",https://github.com/SakanaAI/AI-Scientist,Open Source,Data Generation; Data Analysis; Science Communication,Computer Science,2024-08-15,"August 15, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-029,The Value of Generative AI for Qualitative Research: A Pilot Study,Research Article; Use Case Example,"This mixed-methods approach study investigates the potential of introducing generative AI (ChatGPT 4 and Bard) as part of a deductive qualitative research design that requires coding, focusing on possible gains in cost-effectiveness, coding throughput time, and inter-coder reliability (Cohen’s Kappa). This study involved semi-structured interviews with five domain experts and analyzed a dataset of 122 respondents that required categorization into six predefined categories. The results from using generative AI coders were compared with those from a previous study where human coders carried out the same task. In this comparison, we evaluated the performance of AI-based coders against two groups of human coders, comprising three experts and three non-experts. Our findings support the replacement of human coders with generative AI ones, specifically ChatGPT for deductive qualitative research methods of limited scope. The experimental group, consisting of three independent generative AI coders, outperformed both control groups in coding effort, with a fourfold (4x) efficiency and throughput time (15x) advantage. The latter could be explained by leveraging parallel processing. Concerning expert vs. non-expert coders, minimal evidence suggests a preference for experts. Although experts code slightly faster (17%), their inter-coder reliability showed no substantial advantage. A hybrid approach, combining ChatGPT and domain experts, shows the most promise. This approach reduces costs, shortens project timelines, and enhances inter-coder reliability, as indicated by higher Cohen’s Kappa values. In conclusion, generative AI, exemplified by ChatGPT, offers a viable alternative to human coders, in combination with human research involvement, delivering cost savings and faster research completion without sacrificing notable reliability. These insights, while limited in scope, show potential for further studies with larger datasets, more inductive qualitative research designs, and other research domains.",http://ojs.bonviewpress.com/index.php/jdsis/article/view/2964,Open Source,Data Analysis,Data Science,2024-09-23,"September 23, 2024",Use Case Examples,https://web.archive.org/web/20250218201227/https://llminscience.com/resources/use-case-examples/
resource-030,"Transforming Science with Large Language Models: A Survey on AI-assisted Scientific Discovery, Experimentation, Content Generation, and Evaluation",Research Article; Discussion Article,"With the advent of large multimodal language models, science is now at a threshold of an AI-based technological transformation. Recently, a plethora of new AI models and tools has been proposed, promising to empower researchers and academics worldwide to conduct their research more effectively and efficiently. This includes all aspects of the research cycle, especially (1) searching for relevant literature; (2) generating research ideas and conducting experimentation; generating (3) text-based and (4) multimodal content (e.g., scientific figures and diagrams); and (5) AI-based automatic peer review. In this survey, we provide an in-depth overview over these exciting recent developments, which promise to fundamentally alter the scientific research process for good. Our survey covers the five aspects outlined above, indicating relevant datasets, methods and results (including evaluation) as well as limitations and scope for future research. Ethical concerns regarding shortcomings of these tools and potential for misuse (fake science, plagiarism, harms to research integrity) take a particularly prominent place in our discussion. We hope that our survey will not only become a reference guide for newcomers to the field but also a catalyst for new AI-based initiatives in the area of ""AI4Science"".",https://arxiv.org/abs/2502.05151v1,Preprint,Research Design; Science Communication; Other,Computer Science; Any Discipline,2025-02-10,"February 10, 2025",Discussion Articles,https://web.archive.org/web/20250322091614/https://llminscience.com/resources/discussion-articles/
resource-031,Tweetorial Hooks: Generative AI Tools to Motivate Science on Social Media (science communication),Research Article,"Communicating science and technology is essential for the public to understand and engage in a rapidly changing world. Tweetorials are an emerging phenomenon where experts explain STEM topics on social media in creative and engaging ways. However, STEM experts struggle to write an engaging ""hook"" in the first tweet that captures the reader's attention. We propose methods to use large language models (LLMs) to help users scaffold their process of writing a relatable hook for complex scientific topics. We demonstrate that LLMs can help writers find everyday experiences that are relatable and interesting to the public, avoid jargon, and spark curiosity. Our evaluation shows that the system reduces cognitive load and helps people write better hooks. Lastly, we discuss the importance of interactivity with LLMs to preserve the correctness, effectiveness, and authenticity of the writing.",https://arxiv.org/pdf/2305.12265.pdf,Preprint,Science Communication,Computer Science,,,Research Articles,https://web.archive.org/web/20240419124855/https://llminscience.com/resources/articles/
